genus_species,crm_tree_id,scientific_name,common_name,size,priority,,,,,,,,,,,,,,
Cornus mas,a0o1I000001VWDcQAO,Cornus mas - Golden Glory,"Dogwood, Cornelian Cherry Golden Glory",Small Tree,FALSE,,,,,,,,,,,,,,
Cornus mas,a0o1I000001VWDeQAO,Cornus mas,"Dogwood, Cornelian Cherry",Small Tree,FALSE,,,,,,,,,,,,,,
Cornus racemosa,a0o1I000001VW9iQAG,Cornus racemosa,"Dogwood, Gray",Small Tree,FALSE,,,,,,,,,,,,,,
Cornus sericea,a0o1I000001VWC7QAO,Cornus sericea,"Dogwood, Red Osier",Small Tree,FALSE,,,,,,,,,,,,,,
Cornus x rutgan,a0o1I000001VWDoQAO,Cornus x rutgan - Stellar Pink,"Dogwood, Stellar Pink",Small Tree,FALSE,,,,,,,,,,,,,,
Corylus americana,a0o1I000001VWBvQAO,Corylus americana,"Hazelnut, American",Small Tree,FALSE,,,,,,,,,,,,,,
Corylus avellana,a0o1I000001VWBwQAO,Corylus avellana,"Hazelnut, Common",Small Tree,FALSE,,,,,,,,,,,,,,
Corylus avellana,a0o1I000001VWBxQAO,Corylus avellana - Jefferson,"Hazelnut, Common Jefferson",Small Tree,FALSE,,,,,,,,,,,,,,
Corylus avellana,a0o1I000001VWByQAO,Corylus avellana - Theta,"Hazelnut, Common Theta",Small Tree,FALSE,,,,,,,,,,,,,,
Corylus colurna,a0o1I000001VWBzQAO,Corylus colurna,"Hazelnut, Turkish",Large Tree,FALSE,,,,,,,,,,,,,,
Corylus colurna,a0o1I00000OOh3JQAT,Corylus colurna - Turkish Filbert,"Hazelnut, Turkish Filbert",Large Tree,FALSE,,,,,,,,,,,,,,
Cotinus coggygria,a0o1I000001VWC0QAO,Cotinus coggygria,"Smoketree, Eurasian",Small Tree,FALSE,,,,,,,,,,,,,,
Cotinus coggygria,a0o1I00000OOh3EQAT,Cotinus coggygria - Grace,"Smoketree, Grace",Small Tree,FALSE,,,,,,,,,,,,,,
Crataegus crus-galli,a0o1I000001VWElQAO,Crataegus crus-galli - Inermis,"Hawthorn, Cockspur Inermis",Small Tree,FALSE,,,,,,,,,,,,,,
Crataegus opaca,a0o1I000001VWC1QAO,Crataegus opaca - Heavy,"Mayhaw, Heavy",Small Tree,FALSE,,,,,,,,,,,,,,
Crataegus opaca,a0o1I000001VWC2QAO,Crataegus opaca - Superspur,"Mayhaw, Superspur",Small Tree,FALSE,,,,,,,,,,,,,,
Crataegus phaenopyrum,a0o1I000001VWC3QAO,Crataegus phaenopyrum,"Hawthorn, Washington",Small Tree,FALSE,,,,,,,,,,,,,,
Crataegus phaenopyrum,a0o1I000001VWC4QAO,Crataegus phaenopyrum - Lustre,"Hawthorn, Washington Lustre",Small Tree,FALSE,,,,,,,,,,,,,,
Crataegus phaenopyrum,a0o1I00000OOh2uQAD,Crataegus phaenopyrum - Westwood,"Hawthorn, Washington Westwood",Small Tree,FALSE,,,,,,,,,,,,,,
Crataegus viridis,a0o1I000001VWC5QAO,Crataegus viridis,"Hawthorn, Green",Small Tree,FALSE,,,,,,,,,,,,,,
Crataegus viridis,a0o1I000001VWC6QAO,Crataegus viridis - Winter King,"Hawthorn, Green Winter King",Small Tree,FALSE,,,,,,,,,,,,,,
Cryptomeria japonica,a0o1I000001VWC8QAO,Cryptomeria japonica,"Cedar, Japanese",Large Tree,TRUE,,,,,,,,,,,,,,
Cryptomeria japonica,a0o1I00000OOh2aQAD,Cryptomeria japonica - Radicans,"Cedar, Japanese Radicans",Large Tree,TRUE,,,,,,,,,,,,,,
Cudrania tricuspidata,a0o1I000001VWC9QAO,Cudrania tricuspidata,"Mulberry, Chinese",Small Tree,FALSE,,,,,,,,,,,,,,
Cydonia oblonga,a0o1I000001VWCAQA4,Cydonia oblonga,"Quince, Common",Small Tree,FALSE,,,,,,,,,,,,,,
Diospyros kaki,a0o1I000001VWDsQAO,Diospyros kaki - Izu,"Persimmon, Japanese Izu",Small Tree,FALSE,,,,,,,,,,,,,,
Diospyros kaki,a0o1I000001VWDvQAO,Diospyros kaki - Hana Fuyu,"Persimmon, Japanese Hana Fuyu",Small Tree,FALSE,,,,,,,,,,,,,,
Diospyros kaki,a0o1I000001VWDxQAO,Diospyros kaki - Ichi-Ki-Kei-Jiro,"Persimmon, Japanese Dwarf 1stFromLife Jiro",Small Tree,FALSE,,,,,,,,,,,,,,
Diospyros kaki,a0o1I000001VWCBQA4,Diospyros kaki - Jiro,"Persimmon, Japanese Jiro",Small Tree,FALSE,,,,,,,,,,,,,,
Diospyros kaki,a0o1I000001VWCiQAO,Diospyros kaki - Imoto,"Persimmon, Japanese Imoto",Small Tree,FALSE,,,,,,,,,,,,,,
Diospyros virginiana,a0o1I000001VWCCQA4,Diospyros virginiana,"Persimmon, American",Medium Tree,FALSE,,,,,,,,,,,,,,
Diospyros virginiana,a0o1I000001VWCDQA4,Diospyros virginiana - Meader,"Persimmon, American Meader",Medium Tree,FALSE,,,,,,,,,,,,,,
Diospyros virginiana,a0o1I000001VWCjQAO,Diospyros virginiana - Weber,"Persimmon, American Weber",Medium Tree,FALSE,,,,,,,,,,,,,,
Diospyros virginiana,a0o1I000001VWCkQAO,Diospyros virginiana - Yates,"Persimmon, American Yates",Medium Tree,FALSE,,,,,,,,,,,,,,
Eucommia ulmoides,a0o1I000001VW7IQAW,Eucommia ulmoides,"Rubber Tree, Hardy",Large Tree,FALSE,,,,,,,,,,,,,,
Euonymus americanus,a0o1I000001VWEbQAO,Euonymus americanus,Strawberry Bush,shrub,FALSE,,,,,,,,,,,,,,
Fagus grandifolia,a0o1I000001VW7JQAW,Fagus grandifolia,"Beech, American",Large Tree,TRUE,,,,,,,,,,,,,,
Fagus sylvatica,a0o1I000001VW7KQAW,Fagus sylvatica,"Beech, European",Large Tree,FALSE,,,,,,,,,,,,,,
Ficus carica,a0o1I000001VW7LQAW,Ficus carica,"Fig, Common",Small Tree,FALSE,,,,,,,,,,,,,,
Ficus carica,a0o1I000001VW7MQAW,Ficus carica - Brown Turkey,"Fig, Common Brown Turkey",Small Tree,FALSE,,,,,,,,,,,,,,
Ficus carica,a0o1I000001VW7NQAW,Ficus carica - Celeste,"Fig, Common Celeste",Small Tree,FALSE,,,,,,,,,,,,,,
Ficus carica,a0o1I000001VW7OQAW,Ficus carica - Hardy Chicago,"Fig, Common Hardy Chicago",Small Tree,FALSE,,,,,,,,,,,,,,
Fothergilla major,a0o1I000001VW7PQAW,Fothergilla major,Witch Alder,shrub,FALSE,,,,,,,,,,,,,,
Franklinia alatamaha,a0o1I000001VW7QQAW,Franklinia alatamaha,Franklin Tree,Small Tree,FALSE,,,,,,,,,,,,,,
Gaylussacia baccata,a0o1I000001VW7RQAW,Gaylussacia baccata,"Huckleberry, Black",shrub,FALSE,,,,,,,,,,,,,,
Ginkgo biloba,a0o1I00000YHEgmQAH,Ginkgo biloba - Magyar,"Maidenhair Tree, Magyar",Large Tree,TRUE,,,,,,,,,,,,,,
Ginkgo biloba,a0o1I00000YHEgnQAH,Ginkgo biloba - Presidential Gold,"Maidenhair Tree, Presidential Gold",Large Tree,TRUE,,,,,,,,,,,,,,
Ginkgo biloba,a0o1I000001VW7SQAW,Ginkgo biloba - Autumn Gold,"Maidenhair Tree, Autumn Gold",Large Tree,TRUE,,,,,,,,,,,,,,
Ginkgo biloba,a0o1I000001VW7TQAW,Ginkgo biloba - Windover Gold,"Maidenhair Tree, Windover Gold",Large Tree,TRUE,,,,,,,,,,,,,,
Ginkgo biloba,a0o1I000001VW7UQAW,Ginkgo biloba,Maidenhair Tree,Large Tree,TRUE,,,,,,,,,,,,,,
Ginkgo biloba,a0o1I000001VWClQAO,Ginkgo biloba - Princeton Sentry,"Maidenhair Tree, Princeton Sentry",Large Tree,TRUE,,,,,,,,,,,,,,
Ginkgo biloba,a0o1I000001VWCmQAO,Ginkgo biloba - Golden Colonnade,"Maidenhair Tree, Golden Colonnade",Large Tree,TRUE,,,,,,,,,,,,,,
Gleditsia triacanthos,a0o1I000001VW7VQAW,Gleditsia triacanthos,"Locust, Honey",Large Tree,TRUE,,,,,,,,,,,,,,
Gleditsia triacanthos var. inermis,a0o1I000001VW7WQAW,Gleditsia triacanthos var. inermis - Shademaster,"Locust, Honey Thornless Shademaster",Large Tree,FALSE,,,,,,,,,,,,,,
